 MCS  Time(hr)  APAP_exp_ug/ml  APAP_calc_ug/ml  APAP_abs_err_ug/ml  APAPS_exp_ug/ml  APAPS_calc_ug/ml  APAPS_abs_err_ug/ml  APAPG_exp_ug/ml  APAPG_calc_ug/ml  APAPG_abs_err_ug/ml  total_err_this_step  cumulative_total_err  RMSeTotal  accumChiSquaredTotal
      0    0.00          0.00    0.000    0.000          0.00    0.000    0.000          0.00    0.000    0.000         0.000    0.000        0.0000         0.0000
   1080    0.30          8.94    9.732    0.792          0.76    0.426    0.334          0.33    0.264    0.066         1.191    1.191        0.3518         0.2300
   1800    0.50         14.67   12.892    1.778          1.97    1.572    0.398          1.75    1.316    0.434         2.609    3.801        0.6871         0.6334
   2700    0.75         16.77   14.703    2.067          2.96    2.781    0.179          3.65    2.966    0.684         2.931    6.731        0.8671         1.0273
   3600    1.00         16.63   15.597    1.033          3.41    3.827    0.417          4.71    4.942    0.232         1.683    8.414        0.8294         1.1541
   5400    1.50         14.89   15.666    0.776          4.06    5.360    1.300          7.74    9.135    1.395         3.471   11.886        0.8993         1.8624
   7200    2.00         13.98   14.462    0.482          4.24    6.320    2.080          9.32   13.000    3.680         6.242   18.128        1.2471         4.3525
  10800    3.00         10.85   10.590    0.260          4.24    7.242    3.002         10.78   18.824    8.044        11.306   29.434        2.1060        12.4869
  14400    4.00          8.14    6.326    1.814          3.71    7.483    3.773         10.75   22.229   11.479        17.066   46.501        3.0777        28.9860
  18000    5.00          6.12    2.724    3.396          3.20    7.295    4.095          9.48   23.602   14.122        21.613   68.113        4.0145        57.1474
  21600    6.00          4.45    0.878    3.572          2.68    6.261    3.581          8.13   22.379   14.249        21.402   89.516        4.6453        89.7739
  25200    7.00          3.13    0.259    2.871          2.15    4.160    2.010          6.78   18.162   11.382        16.263  105.779        4.8704       113.3941
  28800    8.00          2.72    0.075    2.645          1.66    2.223    0.563          5.18   13.014    7.834        11.043  116.822        4.8639       128.0066
  43200   12.00          1.20    0.001    1.199          0.72    0.087    0.633          2.05    2.252    0.202         2.034  118.856        4.6917       129.7819
