mcs	time(hr)	hep1.dict['APAP']	hep1.dict['APAPG']	hep1.dict['APAPS']	blood1.dict['APAP']	blood1.dict['APAPG']	blood1.dict['APAPS']	PBPKspeciesDictAPAP['CLiver']	PBPKspeciesDictAPAPG['CLiver']	PBPKspeciesDictAPAPS['CLiver']	PBPKspeciesDictAPAP['CVen']	PBPKspeciesDictAPAPG['CVen']	PBPKspeciesDictAPAPS['CVen']	PBPKspeciesDictAPAP['CTubules']	PBPKspeciesDictAPAPG['CTubules']	PBPKspeciesDictAPAPS['CTubules']	SUBCELLspeciesDict['APAP']	SUBCELLspeciesDict['APAPconj_Glu']	SUBCELLspeciesDict['APAPconj_Sul']	SUBCELLspeciesDict['NAPQI']	SUBCELLspeciesDict['NAPQIGSH']	SUBCELLspeciesDict['GSH']
0	0.0	5.14632388562e-06	0.0	0.0	1.8366294134e-05	0.0	0.0	3.14724816281e-08	0.0	0.0	3.34735821599e-10	0.0	0.0	2.56768156587e-19	0.0	0.0	5.14632388562e-06	0.0	0.0	0.0	0.0	10.0
120	0.0333333333333	0.0543948623986	0.0016795517407	0.00126583569896	0.0604341699128	2.49913235476e-06	1.54027446539e-05	0.000103559993563	4.28251320312e-09	2.63941432389e-08	5.58323077089e-05	5.91272816692e-10	3.73171115892e-09	4.62559204044e-08	3.42795955754e-12	2.68859962478e-11	0.0543948623986	0.0016795517407	0.00126583569896	7.97248915786e-07	4.25183609841e-05	9.99995763303
240	0.0666666666667	0.11156928027	0.00733288445352	0.00501202570164	0.0967201928153	1.92863028992e-05	0.000109385351372	0.000165739722408	3.3049008648e-08	1.87442738112e-07	0.000132590031418	7.08279619546e-09	4.26572177884e-08	4.39726063091e-07	1.82398356232e-10	1.3855934193e-09	0.11156928027	0.00733288445352	0.00501202570164	1.58215992717e-06	0.000187180698185	9.99981424724
360	0.1	0.159896965676	0.0162457126788	0.0102562720364	0.111156730251	5.71845551881e-05	0.000302712903689	0.000190478172959	9.79914537703e-08	5.18728831761e-07	0.000178001240422	2.59875773236e-08	1.51865153131e-07	1.1777341873e-06	1.37776900313e-09	1.01264970924e-08	0.159896965676	0.0162457126788	0.0102562720364	2.1975942004e-06	0.000415540206724	9.99958939531
480	0.133333333333	0.20010458633	0.0277032336009	0.0163706238696	0.117249840997	0.000117788253824	0.00058970542365	0.000200919327532	2.01841951753e-07	1.01051921397e-06	0.00020679627139	6.14765703657e-08	3.51082670434e-07	2.12289218352e-06	5.1430197003e-09	3.68931898521e-08	0.20010458633	0.0277032336009	0.0163706238696	2.67924728965e-06	0.000709346836419	9.99930218564
600	0.166666666667	0.233403867306	0.041146197903	0.0229784185033	0.11963029737	0.000200700103821	0.000960576262846	0.000204998477573	3.43919697907e-07	1.64604348401e-06	0.000227753599658	1.1614125967e-07	6.50234069829e-07	3.2034340465e-06	1.34951879456e-08	9.49344647975e-08	0.233403867306	0.041146197903	0.0229784185033	3.05892090701e-06	0.0010545341628	9.9989673406
720	0.2	0.260941972882	0.056142972523	0.0298424141602	0.120282580854	0.000304829200909	0.00140635524126	0.000206116230551	5.22355318678e-07	2.40993034143e-06	0.000244688537955	1.91643660477e-07	1.05337101514e-06	4.38497340585e-06	2.87411680446e-08	1.98789634372e-07	0.260941972882	0.056142972523	0.0298424141602	3.36061914478e-06	0.0014403750959	9.99859608851
840	0.233333333333	0.283707865178	0.0723588309565	0.0368070275186	0.120094121307	0.000428927156421	0.00191947682083	0.000205793286271	7.35009575242e-07	3.28921548018e-06	0.000259290756944	2.89079954141e-07	1.56090828591e-06	5.64947195571e-06	5.33741980519e-08	3.63493324966e-07	0.283707865178	0.0723588309565	0.0368070275186	3.60209745376e-06	0.00185863002011	9.99819705188
960	0.266666666667	0.302526578821	0.0895318759207	0.0437672279365	0.119470511565	0.00057179733953	0.00249351729941	0.000204724668619	9.79831921018e-07	4.27289124428e-06	0.000272332609196	4.09168358087e-07	2.1708980273e-06	6.98616334005e-06	9.00098966678e-08	6.04079698509e-07	0.302526578821	0.0895318759207	0.0437672279365	3.7965358143e-06	0.00230290070553	9.99777692055
1080	0.3	0.318078025106	0.107455214547	0.0506507636114	0.118603749169	0.000732373000067	0.00312288168089	0.000203239384576	1.25499437291e-06	5.35137004837e-06	0.000284185027056	5.52358529711e-07	2.87985005082e-06	8.3876331957e-06	1.41343761359e-07	9.3526266852e-07	0.318078025106	0.107455214547	0.0506507636114	3.95382495166e-06	0.00276816252883	9.99734093952
