 MCS  Time(hr)  APAP_exp_ug/ml  APAP_calc_ug/ml  APAP_abs_err_ug/ml  APAPS_exp_ug/ml  APAPS_calc_ug/ml  APAPS_abs_err_ug/ml  APAPG_exp_ug/ml  APAPG_calc_ug/ml  APAPG_abs_err_ug/ml  total_err_this_step  cumulative_total_err  RMSeTotal  accumChiSquaredTotal
      0    0.00          0.00    0.000    0.000          0.00    0.000    0.000          0.00    0.000    0.000         0.000    0.000        0.0000         0.0000
   9000    0.50         14.67   13.007    1.663          1.97    1.429    0.541          1.75    0.800    0.950         3.154    3.154        0.8125         0.8529
  13500    0.75         16.77   14.399    2.371          2.96    2.615    0.345          3.65    1.780    1.870         4.586    7.739        1.2110         2.1861
  18000    1.00         16.63   14.904    1.726          3.41    3.632    0.222          4.71    2.930    1.780         3.728   11.468        1.2713         3.0526
  27000    1.50         14.89   14.262    0.628          4.06    5.068    1.008          7.74    5.302    2.438         4.074   15.542        1.3354         4.0974
  36000    2.00         13.98   12.424    1.556          4.24    5.899    1.659          9.32    7.418    1.902         5.117   20.659        1.4052         5.3079
  54000    3.00         10.85    7.524    3.326          4.24    6.521    2.281         10.78   10.432    0.348         5.955   26.614        1.5725         7.5659
  72000    4.00          8.14    2.870    5.270          3.71    6.346    2.636         10.75   11.908    1.158         9.064   35.678        1.9148        12.9755
  90000    5.00          6.12    0.787    5.333          3.20    4.866    1.666          9.48   11.463    1.983         8.982   44.660        2.1356        18.9052
 108000    6.00          4.45    0.211    4.239          2.68    2.737    0.057          8.13    9.075    0.945         5.242   49.902        2.1757        23.0547
 126000    7.00          3.13    0.056    3.074          2.15    1.321    0.829          6.78    6.366    0.414         4.317   54.219        2.1484        26.4182
 144000    8.00          2.72    0.015    2.705          1.66    0.592    1.068          5.18    4.203    0.977         4.749   58.968        2.1195        29.9792
 216000   12.00          1.20    0.000    1.200          0.72    0.018    0.702          2.05    0.673    1.377         3.278   62.246        2.0603        32.7870
