 MCS  Time(hr)  APAP_exp_ug/ml  APAP_calc_ug/ml  APAP_abs_err_ug/ml  APAPS_exp_ug/ml  APAPS_calc_ug/ml  APAPS_abs_err_ug/ml  APAPG_exp_ug/ml  APAPG_calc_ug/ml  APAPG_abs_err_ug/ml  total_err_this_step  cumulative_total_err  RMSeTotal  accumChiSquaredTotal
      0    0.00          0.00    0.000    0.000          0.00    0.000    0.000          0.00    0.000    0.000         0.000    0.000        0.0000         0.0000
   1080    0.30          8.94   11.178    2.238          0.76    0.285    0.475          0.33    0.156    0.174         2.886    2.886        0.9367         0.9482
   1800    0.50         14.67   14.786    0.116          1.97    1.101    0.869          1.75    0.787    0.963         1.948    4.834        0.8794         1.8622
   2700    0.75         16.77   17.043    0.273          2.96    1.984    0.976          3.65    1.775    1.875         3.125    7.959        0.9791         3.1520
   3600    1.00         16.63   18.382    1.752          3.41    2.750    0.660          4.71    2.955    1.755         4.166   12.125        1.0980         4.1178
   5400    1.50         14.89   19.328    4.438          4.06    3.871    0.189          7.74    5.450    2.290         6.917   19.041        1.5467         6.1268
   7200    2.00         13.98   18.980    5.000          4.24    4.569    0.329          9.32    7.744    1.576         6.905   25.946        1.8342         8.2069
  10800    3.00         10.85   16.733    5.883          4.24    5.236    0.996         10.78   11.207    0.427         7.306   33.252        2.1059        11.6479
  14400    4.00          8.14   13.879    5.739          3.71    5.429    1.719         10.75   13.296    2.546        10.003   43.255        2.3476        17.0931
  18000    5.00          6.12   10.969    4.849          3.20    5.427    2.227          9.48   14.416    4.936        12.012   55.267        2.5926        25.0550
  21600    6.00          4.45    8.145    3.695          2.68    5.342    2.662          8.13   14.904    6.774        13.130   68.397        2.8512        36.4101
  25200    7.00          3.13    5.460    2.330          2.15    5.211    3.061          6.78   14.975    8.195        13.586   81.984        3.1190        52.4096
  28800    8.00          2.72    3.000    0.280          1.66    5.025    3.365          5.18   14.729    9.549        13.194   95.178        3.4075        76.8650
  43200   12.00          1.20    0.030    1.170          0.72    1.076    0.356          2.05    6.508    4.458         5.985  101.163        3.3601        87.8779
