 MCS  Time(hr)  APAP_exp_ug/ml  APAP_calc_ug/ml  APAP_abs_err_ug/ml  APAPS_exp_ug/ml  APAPS_calc_ug/ml  APAPS_abs_err_ug/ml  APAPG_exp_ug/ml  APAPG_calc_ug/ml  APAPG_abs_err_ug/ml  total_err_this_step  cumulative_total_err  RMSeTotal  accumChiSquaredTotal
      0    0.00          0.00    0.000    0.000          0.00    0.000    0.000          0.00    0.000    0.000         0.000    0.000        0.0000         0.0000
   1080    0.30          8.94   10.326    1.386          0.76    0.349    0.411          0.33    0.161    0.169         1.966    1.966        0.5940         0.5234
   1800    0.50         14.67   13.007    1.663          1.97    1.432    0.538          1.75    0.801    0.949         3.150    5.115        0.8214         1.3735
   2700    0.75         16.77   14.398    2.372          2.96    2.618    0.342          3.65    1.782    1.868         4.582    9.697        1.1293         2.7041
   3600    1.00         16.63   14.902    1.728          3.41    3.635    0.225          4.71    2.933    1.777         3.730   13.427        1.1972         3.5693
   5400    1.50         14.89   14.258    0.632          4.06    5.071    1.011          7.74    5.306    2.434         4.077   17.504        1.2659         4.6133
   7200    2.00         13.98   12.419    1.561          4.24    5.902    1.662          9.32    7.423    1.897         5.120   22.624        1.3389         5.8252
  10800    3.00         10.85    7.517    3.333          4.24    6.525    2.285         10.78   10.438    0.342         5.960   28.584        1.5013         8.0912
  14400    4.00          8.14    2.856    5.284          3.71    6.351    2.641         10.75   11.916    1.166         9.091   37.675        1.8293        13.5279
  18000    5.00          6.12    0.775    5.345          3.20    4.871    1.671          9.48   11.473    1.993         9.010   46.685        2.0468        19.4883
  21600    6.00          4.45    0.206    4.244          2.68    2.735    0.055          8.13    9.079    0.949         5.249   51.934        2.0933        23.6486
  25200    7.00          3.13    0.055    3.075          2.15    1.317    0.833          6.78    6.364    0.416         4.325   56.258        2.0745        27.0190
  28800    8.00          2.72    0.014    2.706          1.66    0.589    1.071          5.18    4.199    0.981         4.757   61.016        2.0529        30.5865
  43200   12.00          1.20    0.000    1.200          0.72    0.018    0.702          2.05    0.672    1.378         3.279   64.295        2.0011        33.3961
