mcs,time_h,APAP,APAPS,APAPG
0,0,2.32889025646e-10,0,0
60,0.0166666666667,1.56509518229e-05,1.95141279633e-11,1.28937656563e-10
120,0.0333333333333,4.75610229219e-05,5.65999699119e-10,3.06466267032e-09
180,0.05,7.43475951556e-05,3.31955307844e-09,1.49433091403e-08
240,0.0666666666667,9.36552216021e-05,1.04760500178e-08,3.97479722188e-08
300,0.0833333333333,0.00010778205669,2.3905449218e-08,7.81618271502e-08
360,0.1,0.000118781653245,4.49587434236e-08,1.29070754686e-07
420,0.116666666667,0.000127935569645,7.44954368663e-08,1.90739501429e-07
480,0.133333333333,0.000135986280639,1.12962340076e-07,2.61359339203e-07
540,0.15,0.000143358246686,1.60489631661e-07,3.39249854014e-07
600,0.166666666667,0.00015029412934,2.16974647968e-07,4.22921264236e-07
660,0.183333333333,0.000156932947526,2.82148196833e-07,5.11081396074e-07
720,0.2,0.000163354548666,3.55624444365e-07,6.02621900803e-07
780,0.216666666667,0.000169604961887,4.36940330954e-07,6.96597849765e-07
840,0.233333333333,0.000175710880912,5.2558486399e-07,7.92206499536e-07
900,0.25,0.000181687946221,6.21020758052e-07,8.88767532603e-07
960,0.266666666667,0.000187545460066,7.22700273817e-07,9.85705548191e-07
1020,0.283333333333,0.000193289171299,8.30076690136e-07,1.08253491795e-06
1080,0.3,0.000198922778584,9.42612508425e-07,1.17884683475e-06
1140,0.316666666667,0.000204448819824,1.05978522231e-06,1.27429829442e-06
1200,0.333333333333,0.000209869187674,1.18109127842e-06,1.36860273609e-06
1260,0.35,0.000215185421359,1.30604869491e-06,1.46152208597e-06
1320,0.366666666667,0.000220398872444,1.43419868476e-06,1.55285998168e-06
1380,0.383333333333,0.00022551079856,1.56510654269e-06,1.64245598806e-06
1440,0.4,0.000230522415878,1.69836198436e-06,1.73018063956e-06
1500,0.416666666667,0.000235434927916,1.83357908693e-06,1.81593119167e-06
1560,0.433333333333,0.000240249540837,1.97039593654e-06,1.89962796089e-06
1620,0.45,0.000244967471025,2.10847406305e-06,1.98121116483e-06
1680,0.466666666667,0.000249589948296,2.24749772392e-06,2.06063818859e-06
1740,0.483333333333,0.000254118216665,2.3871730838e-06,2.13788121445e-06
1800,0.5,0.000258553533759,2.52722732522e-06,2.21292516256e-06
1860,0.516666666667,0.000262897169687,2.66740771744e-06,2.28576589846e-06
1920,0.533333333333,0.000267150407969,2.80748066394e-06,2.35640867065e-06
1980,0.55,0.000271314531643,2.94723074426e-06,2.42486674656e-06
2040,0.566666666667,0.000275390838464,3.08645976201e-06,2.49116022062e-06
2100,0.583333333333,0.000279380631623,3.22498580838e-06,2.55531497226e-06
2160,0.6,0.000283285217105,3.36264234773e-06,2.61736175392e-06
2220,0.616666666667,0.000287105902604,3.49927732991e-06,2.6773353924e-06
2280,0.633333333333,0.000290843996189,3.63475233303e-06,2.73527408952e-06
2340,0.65,0.000294500804912,3.76894173876e-06,2.79121880958e-06
2400,0.666666666667,0.000298077633487,3.90173194186e-06,2.84521274301e-06
2460,0.683333333333,0.000301575783054,4.03302059463e-06,2.89730083711e-06
2520,0.7,0.000304996550022,4.16271588671e-06,2.94752938565e-06
2580,0.716666666667,0.000308341225002,4.29073585991e-06,2.99594567042e-06
2640,0.733333333333,0.000311611091819,4.41700775774e-06,3.04259764856e-06
2700,0.75,0.000314807426591,4.54146740881e-06,3.08753368013e-06
2760,0.766666666667,0.000317931496896,4.66405864237e-06,3.13080229006e-06
2820,0.783333333333,0.000320984560985,4.78473273812e-06,3.17245196657e-06
2880,0.8,0.000323967867079,4.90344790605e-06,3.21253098265e-06
2940,0.816666666667,0.000326882660743,5.02016879438e-06,3.251087242e-06
3000,0.833333333333,0.00032973016767,5.13486602676e-06,3.28816814873e-06
3060,0.85,0.00033251159192,5.24751576638e-06,3.3238204956e-06
3120,0.866666666667,0.000335228136473,5.35809930613e-06,3.35809036986e-06
3180,0.883333333333,0.000337880991252,5.46660268382e-06,3.3910230744e-06
3240,0.9,0.000340471332649,5.57301632058e-06,3.42266306185e-06
3300,0.916666666667,0.000343000323455,5.67733468144e-06,3.4530538803e-06
3360,0.933333333333,0.000345469112615,5.77955595681e-06,3.4822381295e-06
3420,0.95,0.000347878834955,5.87968176383e-06,3.51025742622e-06
3480,0.966666666667,0.00035023061094,5.97771686651e-06,3.53715237768e-06
3540,0.983333333333,0.000352525546453,6.07366891358e-06,3.56296256215e-06
3600,1,0.000354764732617,6.16754819308e-06,3.58772651573e-06
3660,1.01666666667,0.000356949245632,6.2593674028e-06,3.61148172469e-06
3720,1.03333333333,0.000359080146652,6.34914143547e-06,3.63426462249e-06
3780,1.05,0.000361158481679,6.43688717815e-06,3.65611059108e-06
3840,1.06666666667,0.000363185281483,6.52262332466e-06,3.67705396577e-06
3900,1.08333333333,0.000365161561542,6.60637020056e-06,3.69712804326e-06
3960,1.1,0.000367088322009,6.68814959976e-06,3.71636509239e-06
4020,1.11666666667,0.000368966547685,6.7679846321e-06,3.73479636718e-06
4080,1.13333333333,0.000370797208025,6.84589958136e-06,3.75245212187e-06
4140,1.15,0.00037258125715,6.92191977288e-06,3.76936162764e-06
4200,1.16666666667,0.000374319633877,6.99607145036e-06,3.78555319072e-06
4260,1.18333333333,0.000376013261765,7.06838166125e-06,3.80105417163e-06
4320,1.2,0.000377663049175,7.13887815013e-06,3.81589100541e-06
4380,1.21666666667,0.000379269889336,7.2075892597e-06,3.8300892226e-06
4440,1.23333333333,0.000380838672814,7.27454383857e-06,3.84367347021e-06
4500,1.25,0.000382362601673,7.33977113599e-06,3.8566675e-06
4560,1.26666666667,0.000383845674949,7.40330068276e-06,3.86909416449e-06
4620,1.28333333333,0.000385289339656,7.46516226966e-06,3.88097554789e-06
4680,1.3,0.000386694328524,7.52538591754e-06,3.89233299176e-06
4740,1.31666666667,0.000388061413094,7.58400181263e-06,3.90318708178e-06
4800,1.33333333333,0.000389391380058,7.64104024028e-06,3.91355765598e-06
4860,1.35,0.000390685007175,7.69653152557e-06,3.92346382424e-06
4920,1.36666666667,0.000391943058017,7.75050598034e-06,3.93292399037e-06
4980,1.38333333333,0.000393166281633,7.8029938556e-06,3.9419558742e-06
5040,1.4,0.000394355412895,7.85402529835e-06,3.95057653329e-06
5100,1.41666666667,0.000395511172819,7.90363031247e-06,3.95880238426e-06
5160,1.43333333333,0.000396634268822,7.95183872323e-06,3.96664922374e-06
5220,1.45,0.000397725394946,7.99868014504e-06,3.97413224885e-06
5280,1.46666666667,0.000398785232054,8.04418395236e-06,3.98126607734e-06
5340,1.48333333333,0.000399814448023,8.08837925327e-06,3.98806476716e-06
