mcs,time_h,APAP,APAPS,APAPG
0,0,2.32889025646e-10,0,0
60,0.0166666666667,1.56499652758e-05,4.92507022333e-10,6.47814721595e-09
120,0.0333333333333,4.75367335556e-05,1.42575165722e-08,1.51009221044e-07
180,0.05,7.42223252977e-05,8.31526835176e-08,7.18017110309e-07
240,0.0666666666667,9.32998157405e-05,2.61078785101e-07,1.87183540091e-06
300,0.0833333333333,0.000107038243525,5.94773033975e-07,3.61273024612e-06
360,0.1,0.000117480630752,1.11734467922e-06,5.86192901258e-06
420,0.116666666667,0.000125909452252,1.8486310556e-06,8.52092757663e-06
480,0.133333333333,0.000133074291909,2.79769004263e-06,1.1495891761e-05
540,0.15,0.00013940965164,3.96550943947e-06,1.47050077151e-05
600,0.166666666667,0.000145169281146,5.34734108129e-06,1.80794486031e-05
660,0.183333333333,0.000150503310454,6.93454514619e-06,2.15622609739e-05
720,0.2,0.000155502207226,8.71598566025e-06,2.51067146333e-05
780,0.216666666667,0.000160221905089,1.06790585784e-05,2.86746733298e-05
840,0.233333333333,0.000164698218095,1.28104290012e-05,3.22351466677e-05
900,0.25,0.000168955135154,1.5096552592e-05,3.5763056892e-05
960,0.266666666667,0.000173009609216,1.75240360446e-05,3.92382147349e-05
1020,0.283333333333,0.000176874334531,2.0079877516e-05,4.26444762584e-05
1080,0.3,0.000180559366455,2.27516218163e-05,4.59690510387e-05
1140,0.316666666667,0.000184073073766,2.55274542686e-05,4.92019337157e-05
1200,0.333333333333,0.00018742270461,2.83962510864e-05,5.23354362248e-05
1260,0.35,0.000190614727667,3.13475994841e-05,5.53638021785e-05
1320,0.366666666667,0.00019365504203,3.43717967778e-05,5.82828868196e-05
1380,0.383333333333,0.000196549109437,3.74598354236e-05,6.10898914354e-05
1440,0.4,0.000199302040951,4.06033783033e-05,6.37831387093e-05
1500,0.416666666667,0.00020191865525,4.37947282421e-05,6.63618867628e-05
1560,0.433333333333,0.000204403519612,4.70267943328e-05,6.88261727496e-05
1620,0.45,0.000206760980243,5.02930564324e-05,7.11766798092e-05
1680,0.466666666667,0.000208995185541,5.35875291477e-05,7.34146221264e-05
1740,0.483333333333,0.000211110104595,5.69047261707e-05,7.55416563324e-05
1800,0.5,0.000213109542366,6.02396236214e-05,7.75589772959e-05
1860,0.516666666667,0.000214997152461,6.35876305687e-05,7.94672781507e-05
1920,0.533333333333,0.00021677644809,6.6944557536e-05,8.12746986429e-05
1980,0.55,0.000218450811607,7.03033668574e-05,8.29809779265e-05
2040,0.566666666667,0.000220023502925,7.36666452229e-05,8.45887175961e-05
2100,0.583333333333,0.000221497665506,7.7028912253e-05,8.61008653881e-05
2160,0.6,0.000222876335671,8.03867510518e-05,8.75204409802e-05
2220,0.616666666667,0.000224162449628,8.37374781303e-05,8.88504985912e-05
2280,0.633333333333,0.00022535884542,8.70787324777e-05,9.0094108765e-05
2340,0.65,0.00022646826912,9.04083828587e-05,9.12543412955e-05
2400,0.666666666667,0.000227493379546,9.37244980636e-05,9.23342497354e-05
2460,0.683333333333,0.000228436752481,9.70253304597e-05,9.33368580445e-05
2520,0.7,0.000229300884517,0.000100309301819,9.42651493651e-05
2580,0.716666666667,0.000230088196606,0.000103574989777,9.51220567097e-05
2640,0.733333333333,0.000230801037344,0.000106821114963,9.5910455327e-05
2700,0.75,0.000231441686014,0.000110046528969,9.66331565216e-05
2760,0.766666666667,0.000232012355416,0.000113250203179,9.72929027368e-05
2820,0.783333333333,0.00023251519451,0.000116431218466,9.78923637276e-05
2880,0.8,0.000232952290879,0.000119588755707,9.84341336771e-05
2940,0.816666666667,0.000233325673037,0.000122722087059,9.89207291271e-05
3000,0.833333333333,0.000233637312598,0.000125830567963,9.93545876093e-05
3060,0.85,0.000233889126314,0.000128913629802,9.97380668796e-05
3120,0.866666666667,0.000234082977993,0.000131970773183,0.000100073444668
3180,0.883333333333,0.000234220680308,0.000135001561781,0.00010036291887
3240,0.9,0.000234303996513,0.000138005616716,0.000100608608112
3300,0.916666666667,0.000234334642063,0.000140982611404,0.00010081255263
3360,0.933333333333,0.000234314286153,0.00014393226686,0.00010097671542
3420,0.95,0.000234244553176,0.000146854347399,0.000101102983604
3480,0.966666666667,0.000234127024116,0.000149748656722,0.000101193169978
3540,0.983333333333,0.000233963237874,0.00015261503434,0.000101249014714
3600,1,0.000233754692525,0.000155453352308,0.000101272187168
3660,1.01666666667,0.000233502846532,0.000158263512253,0.000101264287792
3720,1.03333333333,0.000233209119895,0.000161045442665,0.000101226850112
3780,1.05,0.000232874895262,0.000163799096418,0.000101161342745
3840,1.06666666667,0.000232501518981,0.000166524448529,0.000101069171468
3900,1.08333333333,0.000232090302126,0.000169221494099,0.000100951681283
3960,1.1,0.000231642521468,0.000171890246446,0.000100810158506
4020,1.11666666667,0.000231159420415,0.000174530735412,0.000100645832836
4080,1.13333333333,0.000230642209921,0.000177143005804,0.000100459879414
4140,1.15,0.000230092069352,0.000179727085296,0.000100253420863
4200,1.16666666667,0.000229510147332,0.000182283061954,0.000100027529287
4260,1.18333333333,0.00022889756255,0.000184811034556,9.97832282429e-05
4320,1.2,0.000228255404543,0.000187311095893,9.95214946728e-05
4380,1.21666666667,0.000227584734458,0.000189783345876,9.92432607847e-05
4440,1.23333333333,0.000226886585778,0.000192227892662,9.89494158929e-05
4500,1.25,0.000226161965037,0.0001946448521,9.86408082059e-05
4560,1.26666666667,0.000225411852499,0.000197034346936,9.83182465635e-05
4620,1.28333333333,0.000224637202832,0.000199396506079,9.7982502122e-05
4680,1.3,0.000223838945746,0.000201731463945,9.76343099849e-05
4740,1.31666666667,0.000223017986618,0.000204039359883,9.72743707804e-05
4800,1.33333333333,0.000222175207107,0.000206320337656,9.69033521846e-05
4860,1.35,0.000221311465735,0.00020857454498,9.65218903908e-05
4920,1.36666666667,0.000220427598462,0.000210802133099,9.61305915252e-05
4980,1.38333333333,0.000219524419244,0.000213003256406,9.57300330097e-05
5040,1.4,0.000218602720575,0.000215178072103,9.53207648727e-05
5100,1.41666666667,0.000217663274008,0.000217326739879,9.49033110077e-05
5160,1.43333333333,0.00021670683067,0.000219449421633,9.44781703829e-05
5220,1.45,0.000215734121763,0.000221546281213,9.40458182012e-05
5280,1.46666666667,0.00021474585904,0.000223617484183,9.36067070113e-05
5340,1.48333333333,0.000213742735288,0.000225663197606,9.31612677734e-05
5400,1.5,0.000212725424778,0.000227683589853,9.27099108795e-05
5460,1.51666666667,0.00021169458372,0.000229678830423,9.22530271284e-05
5520,1.53333333333,0.000210650850693,0.000231649089784,9.17909886601e-05
5580,1.55,0.000209594847076,0.000233594539226,9.13241498471e-05
5640,1.56666666667,0.000208527177459,0.000235515350723,9.08528481471e-05
5700,1.58333333333,0.00020744843005,0.000237411696815,9.03774049166e-05
5760,1.6,0.000206359177064,0.000239283750496,8.98981261886e-05
5820,1.61666666667,0.000205259975115,0.000241131685109,8.94153034129e-05
5880,1.63333333333,0.000204151365584,0.000242955674255,8.89292141642e-05
5940,1.65,0.000203033874989,0.000244755891706,8.8440122815e-05
6000,1.66666666667,0.000201908015338,0.00024653251133,8.79482811791e-05
6060,1.68333333333,0.000200774284483,0.000248285707017,8.74539291234e-05
6120,1.7,0.000199633166456,0.000250015652612,8.69572951506e-05
6180,1.71666666667,0.0001984851318,0.000251722521859,8.64585969552e-05
6240,1.73333333333,0.000197330637895,0.000253406488344,8.5958041951e-05
6300,1.75,0.000196170129274,0.000255067725443,8.54558277749e-05
6360,1.76666666667,0.000195004037932,0.000256706406276,8.49521427651e-05
6420,1.78333333333,0.000193832783623,0.000258322703667,8.44471664163e-05
6480,1.8,0.000192656774162,0.000259916790099,8.39410698125e-05
6540,1.81666666667,0.000191476405706,0.000261488837684,8.34340160389e-05
6600,1.83333333333,0.000190292063037,0.000263039018123,8.29261605731e-05
6660,1.85,0.000189104119834,0.000264567502679,8.24176516568e-05
6720,1.86666666667,0.000187912938946,0.000266074462148,8.19086306492e-05
6780,1.88333333333,0.000186718872648,0.000267560066832,8.1399232363e-05
6840,1.9,0.000185522262896,0.000269024486511,8.08895853835e-05
6900,1.91666666667,0.000184323441582,0.000270467890426,8.03798123708e-05
6960,1.93333333333,0.000183122730773,0.000271890447253,7.98700303483e-05
7020,1.95,0.00018192044295,0.000273292325085,7.93603509757e-05
7080,1.96666666667,0.00018071688124,0.000274673691414,7.88508808082e-05
7140,1.98333333333,0.000179512339645,0.000276034713111,7.83417215428e-05
7200,2,0.000178307103263,0.000277375556415,7.78329702523e-05
7260,2.01666666667,0.000177101448503,0.000278696386913,7.73247196069e-05
7320,2.03333333333,0.000175895643299,0.000279997369528,7.68170580848e-05
7380,2.05,0.000174689947317,0.000281278668507,7.63100701727e-05
7440,2.06666666667,0.000173484612155,0.000282540447405,7.58038365539e-05
7500,2.08333333333,0.000172279881543,0.000283782869078,7.529843429e-05
7560,2.1,0.000171075991534,0.00028500609567,7.47939369907e-05
7620,2.11666666667,0.000169873170694,0.000286210288601,7.42904149758e-05
7680,2.13333333333,0.000168671640285,0.00028739560856,7.3787935429e-05
7740,2.15,0.000167471614447,0.000288562215495,7.32865625438e-05
7800,2.16666666667,0.000166273300371,0.000289710268605,7.2786357662e-05
7860,2.18333333333,0.000165076898473,0.000290839926331,7.22873794045e-05
7920,2.2,0.000163882602559,0.000291951346349,7.1789683796e-05
