mcs,time_h,APAP,APAPS,APAPG
0,0,2.32889025646e-10,0,0
60,0.0166666666667,1.63747302044e-05,7.94461267368e-10,2.65944253015e-09
120,0.0333333333333,5.12038987123e-05,2.28336265754e-08,6.27588169271e-08
180,0.05,8.1480688299e-05,1.30841584201e-07,3.00991383938e-07
240,0.0666666666667,0.000103718392293,4.02309061345e-07,7.91855882433e-07
300,0.0833333333333,0.000119993580895,8.97000706248e-07,1.54233250144e-06
360,0.1,0.000132432869075,1.65010461362e-06,2.52425432875e-06
420,0.116666666667,0.00014243952174,2.67562527178e-06,3.69823078072e-06
480,0.133333333333,0.000150868498429,3.97179876458e-06,5.02436815598e-06
540,0.15,0.000158237283186,5.52599680175e-06,6.46620558145e-06
600,0.166666666667,0.000164862025689,7.31861650324e-06,7.99187688352e-06
660,0.183333333333,0.000170938368198,9.32599626636e-06,9.57418289544e-06
720,0.2,0.00017658931468,1.15225234312e-05,1.11902502892e-05
780,0.216666666667,0.000181893803429,1.38821096624e-05,1.28210522154e-05
840,0.233333333333,0.000186903859096,1.63791881641e-05,1.44509027066e-05
900,0.25,0.00019165491944,1.89893581752e-05,1.6066979827e-05
960,0.266666666667,0.000196172120357,2.16897803257e-05,1.76588974e-05
1020,0.283333333333,0.000200474070189,2.4459380971e-05,1.92183304248e-05
1080,0.3,0.000204575171352,2.72789433191e-05,2.07386923223e-05
1140,0.316666666667,0.000208487051163,3.01311117744e-05,2.22148591947e-05
1200,0.333333333333,0.000212219449599,3.30003397898e-05,2.36429353532e-05
1260,0.35,0.000215780777861,3.58728033662e-05,2.50200544104e-05
1320,0.366666666667,0.000219178475866,3.87362942962e-05,2.63442107106e-05
1380,0.383333333333,0.000222419246011,4.15801030397e-05,2.76141164957e-05
1440,0.4,0.000225509210074,4.43948980011e-05,2.88290808495e-05
1500,0.416666666667,0.000228454017787,4.71726057359e-05,2.99889070644e-05
1560,0.433333333333,0.0002312589245,4.9906295058e-05,3.10938054745e-05
1620,0.45,0.000233928848737,5.25900668372e-05,3.21443189181e-05
1680,0.466666666667,0.00023646841647,5.5218950332e-05,3.31412629091e-05
1740,0.483333333333,0.00023888199586,5.77888070465e-05,3.40856694079e-05
1800,0.5,0.000241173725523,6.02962419538e-05,3.49787425795e-05
1860,0.516666666667,0.000243347538007,6.27385220045e-05,3.5821820834e-05
1920,0.533333333333,0.000245407179594,6.51135017121e-05,3.66163445314e-05
1980,0.55,0.000247356227235,6.74195554743e-05,3.7363828712e-05
2040,0.566666666667,0.000249198103193,6.96555162288e-05,3.80658401328e-05
2100,0.583333333333,0.000250936087797,7.1820620014e-05,3.87239779857e-05
2160,0.6,0.00025257333063,7.39144559975e-05,3.93398577668e-05
2220,0.616666666667,0.00025411286038,7.59369215395e-05,3.99142031458e-05
2280,0.633333333333,0.000255557593567,7.78881818727e-05,4.04493168319e-05
2340,0.65,0.000256910342285,7.9768633998e-05,4.09481273684e-05
2400,0.666666666667,0.000258173821103,8.15788744201e-05,4.14111349017e-05
2460,0.683333333333,0.00025935065323,8.33196703695e-05,4.18397968052e-05
2520,0.7,0.000260443376038,8.49919337968e-05,4.22356197193e-05
2580,0.716666666667,0.000261454446029,8.65966978507e-05,4.26000702744e-05
2640,0.733333333333,0.000262386243302,8.81315814998e-05,4.293456979e-05
2700,0.75,0.000263241075594,8.96039267005e-05,4.32404942373e-05
2760,0.766666666667,0.000264021181943,9.10139014158e-05,4.35191736552e-05
2820,0.783333333333,0.00026472873601,9.23612935364e-05,4.37718915026e-05
2880,0.8,0.000265365849111,9.36474121189e-05,4.39998842819e-05
2940,0.816666666667,0.000265934572984,9.48737335716e-05,4.42043414973e-05
3000,0.833333333333,0.000266436902331,9.60417371226e-05,4.43864059196e-05
3060,0.85,0.00026687477715,9.7152898039e-05,4.45471741099e-05
3120,0.866666666667,0.000267250084886,9.82086897083e-05,4.46876971567e-05
3180,0.883333333333,0.000267564662425,9.9210581888e-05,4.48089815845e-05
3240,0.9,0.000267820297939,0.000100160037242,4.49119903993e-05
3300,0.916666666667,0.000268018732607,0.000101058507665,4.49976442408e-05
3360,0.933333333333,0.00026816166222,0.000101907430891,4.50668226149e-05
3420,0.95,0.000268250738682,0.000102708227518,4.51203651859e-05
3480,0.966666666667,0.00026828757142,0.000103462298433,4.51590731093e-05
