mcs,time_h,APAP,APAPS,APAPG
0,0,2.32889025646e-10,0,0
60,0.0166666666667,1.85745613024e-05,2.40498857806e-10,2.65272548225e-09
120,0.0333333333333,6.1445425023e-05,7.64980947713e-09,6.0988122661e-08
180,0.05,0.000100307107794,4.727620605e-08,2.87646874833e-07
240,0.0666666666667,0.000129352816397,1.53172458537e-07,7.47936058354e-07
300,0.0833333333333,0.000150751797282,3.54653471187e-07,1.44500601225e-06
360,0.1,0.000167105307032,6.7094142372e-07,2.35146755904e-06
420,0.116666666667,0.000180197593754,1.1112837847e-06,3.43036135278e-06
480,0.133333333333,0.000191149592158,1.67687682587e-06,4.64422302469e-06
540,0.15,0.000200662399953,2.36303839781e-06,5.9586177754e-06
600,0.166666666667,0.000209178390736,3.16112614782e-06,7.34338181256e-06
660,0.183333333333,0.00021697910321,4.06007741317e-06,8.7728485953e-06
720,0.2,0.000224245288619,5.04757794336e-06,1.02256190485e-05
780,0.216666666667,0.000231094246702,6.11090909002e-06,1.16841317373e-05
840,0.233333333333,0.000237603185613,7.23753554873e-06,1.31341706926e-05
900,0.25,0.000243823876689,8.41549214426e-06,1.45643808084e-05
960,0.266666666667,0.000249791857804,9.63361996542e-06,1.59658223466e-05
1020,0.283333333333,0.000255532239567,1.08816971663e-05,1.73315765757e-05
1080,0.3,0.00026106336887,1.21504921993e-05,1.86564044643e-05
1140,0.316666666667,0.000266399149134,1.34317654699e-05,1.99364553966e-05
1200,0.333333333333,0.000271550521032,1.47182371352e-05,2.11690208098e-05
1260,0.35,0.00027652641227,1.60035338862e-05,2.23523270668e-05
1320,0.366666666667,0.000281334351798,1.72821238239e-05,2.34853620213e-05
1380,0.383333333333,0.000285980871231,1.85492457513e-05,2.45677302091e-05
1440,0.4,0.000290471770647,1.98008371655e-05,2.55995321961e-05
1500,0.416666666667,0.0002948122974,2.1033463761e-05,2.65812641761e-05
1560,0.433333333333,0.000299007268683,2.2244252211e-05,2.75137336904e-05
1620,0.45,0.000303061157335,2.34308272596e-05,2.83979937206e-05
1680,0.466666666667,0.000306978153349,2.45912536518e-05,2.9235282602e-05
1740,0.483333333333,0.000310762209037,2.57239830858e-05,3.00269772632e-05
1800,0.5,0.00031441707305,2.68278061453e-05,3.07745547108e-05
1860,0.516666666667,0.000317946316603,2.79018090267e-05,3.14795601432e-05
1920,0.533333333333,0.000321353354152,2.89453347862e-05,3.21435808583e-05
1980,0.55,0.000324641460026,2.99579487895e-05,3.27682250231e-05
2040,0.566666666667,0.000327813782036,3.09394080201e-05,3.33551044984e-05
2100,0.583333333333,0.000330873352772,3.18896339066e-05,3.39058210471e-05
2160,0.6,0.000333823099118,3.28086883315e-05,3.44219553584e-05
2220,0.616666666667,0.000336665850325,3.36967525064e-05,3.49050584193e-05
2280,0.633333333333,0.000339404344953,3.45541084152e-05,3.53566448322e-05
2340,0.65,0.000342041236865,3.53811225502e-05,3.57767358802e-05
2400,0.666666666667,0.000344579100456,3.61782316903e-05,3.61693487635e-05
2460,0.683333333333,0.000347020435235,3.69459297022e-05,3.65351226296e-05
2520,0.7,0.000349367669867,3.76847589841e-05,3.68749986899e-05
2580,0.716666666667,0.000351623165765,3.83952994857e-05,3.71902381598e-05
2640,0.733333333333,0.00035378922029,3.90781600769e-05,3.74820762319e-05
2700,0.75,0.000355868069627,3.97339721442e-05,3.77516941346e-05
2760,0.766666666667,0.000357861891376,4.0363383574e-05,3.80002207783e-05
2820,0.783333333333,0.000359772806909,4.09670535283e-05,3.82287349603e-05
2880,0.8,0.000361602883516,4.15456479697e-05,3.84382668873e-05
2940,0.816666666667,0.000363354136366,4.20998358459e-05,3.86297995267e-05
3000,0.833333333333,0.00036502853033,4.26302858469e-05,3.88042699979e-05
3060,0.85,0.000366627981648,4.31376636622e-05,3.89625710423e-05
3120,0.866666666667,0.000368154359497,4.36226296729e-05,3.91055525581e-05
3180,0.883333333333,0.000369609487447,4.40844760374e-05,3.92340231791e-05
3240,0.9,0.000370995144829,4.45257922906e-05,3.93487518752e-05
3300,0.916666666667,0.000372313068025,4.49476646307e-05,3.94504695591e-05
3360,0.933333333333,0.000373564951683,4.53496726849e-05,3.95398706836e-05
3420,0.95,0.000374752449878,4.57323551472e-05,3.96176148187e-05
3480,0.966666666667,0.000375877177209,4.60963378072e-05,3.96843282002e-05
3540,0.983333333333,0.000376940709847,4.64422261842e-05,3.97406052421e-05
3600,1,0.000377944586546,4.67706026344e-05,3.97870100086e-05
3660,1.01666666667,0.000378890309599,4.70820308233e-05,3.98240776406e-05
3720,1.03333333333,0.000379779345773,4.73770579987e-05,3.98523157353e-05
3780,1.05,0.000380613127193,4.76562159411e-05,3.98722056766e-05
3840,1.06666666667,0.000381393052208,4.79200214427e-05,3.98842039144e-05
3900,1.08333333333,0.000382120486219,4.81689766384e-05,3.98887431941e-05
3960,1.1,0.000382796762489,4.84035692891e-05,3.98862337344e-05
4020,1.11666666667,0.000383423182917,4.86242730518e-05,3.9877064356e-05
4080,1.13333333333,0.000384001018798,4.8831547747e-05,3.98616035599e-05
4140,1.15,0.000384531511552,4.90258396291e-05,3.98402005575e-05
4200,1.16666666667,0.000385015873442,4.92075816631e-05,3.98131862542e-05
4260,1.18333333333,0.000385455288264,4.93771938071e-05,3.97808741859e-05
4320,1.2,0.000385850912022,4.95350833013e-05,3.97435614119e-05
4380,1.21666666667,0.00038620387358,4.96816449617e-05,3.97015293652e-05
4440,1.23333333333,0.000386515275309,4.98172614785e-05,3.96550446603e-05
4500,1.25,0.000386786193701,4.99423037167e-05,3.96043598629e-05
4560,1.26666666667,0.000387017679979,5.00571310186e-05,3.95497142199e-05
4620,1.28333333333,0.000387210760688,5.01620915064e-05,3.94913343543e-05
4680,1.3,0.000387366438272,5.02575223837e-05,3.94294349243e-05
4740,1.31666666667,0.000387485691633,5.03437502361e-05,3.93642192494e-05
4800,1.33333333333,0.000387569476685,5.04210913275e-05,3.92958799042e-05
4860,1.35,0.000387618726882,5.04898518943e-05,3.92245992828e-05
4920,1.36666666667,0.000387634353746,5.0550328435e-05,3.9150550133e-05
4980,1.38333333333,0.000387617247376,5.06028079946e-05,3.90738960641e-05
5040,1.4,0.000387568276941,5.06475684442e-05,3.89947920273e-05
5100,1.41666666667,0.000387488291171,5.06848787556e-05,3.89133847724e-05
5160,1.43333333333,0.000387378118828,5.07149992692e-05,3.88298132798e-05
5220,1.45,0.000387238569172,5.07381819565e-05,3.874420917e-05
5280,1.46666666667,0.00038707043241,5.0754670676e-05,3.86566970927e-05
5340,1.48333333333,0.000386874480137,5.07647014233e-05,3.85673950942e-05
5400,1.5,0.000386651465774,5.07685025746e-05,3.84764149667e-05
5460,1.51666666667,0.000386402124979,5.07662951234e-05,3.8383862578e-05
