mcs,time_h,APAP,APAPS,APAPG
0,0,2.32889025646e-10,0,0
60,0.0166666666667,1.56503395175e-05,1.93319356807e-11,1.57623483463e-10
120,0.0333333333333,4.75459147538e-05,5.548299065e-10,4.62074261982e-09
180,0.05,7.42696399415e-05,3.21833373589e-09,2.74278401934e-08
240,0.0666666666667,9.34341336136e-05,1.00414105804e-08,8.7368572896e-08
300,0.0833333333333,0.00010731966778,2.26571078206e-08,2.02205138459e-07
360,0.1,0.000117973453793,4.21393299971e-08,3.86539397706e-07
420,0.116666666667,0.000126677678555,6.90664506779e-08,6.51575771883e-07
480,0.133333333333,0.000134179095424,1.03622340684e-07,1.00544164674e-06
540,0.15,0.000140908074874,1.45704895828e-07,1.45363273534e-06
600,0.166666666667,0.000147113686805,1.95013953376e-07,1.99945030486e-06
660,0.183333333333,0.000152941267122,2.51120909691e-07,2.64439132323e-06
720,0.2,0.000158476613012,3.13517027887e-07,3.38848358195e-06
780,0.216666666667,0.000163771232125,3.81649997555e-07,4.23056832743e-06
840,0.233333333333,0.000168856810004,4.54949993011e-07,5.16853650738e-06
900,0.25,0.0001737535195,5.32847736579e-07,6.19952543633e-06
960,0.266666666667,0.000178474804511,6.14786777986e-07,7.32008228809e-06
1020,0.283333333333,0.000183030141677,7.00231583424e-07,8.52629993331e-06
1080,0.3,0.000187426640025,7.88672637049e-07,9.81392990134e-06
1140,0.316666666667,0.000191669971749,8.79629412721e-07,1.11784763189e-05
1200,0.333333333333,0.000195764916765,9.72651846809e-07,1.26152740301e-05
1260,0.35,0.000199715671315,1.06732076554e-06,1.41195535187e-05
1320,0.366666666667,0.00020352607295,1.16324759727e-06,1.56864948067e-05
1380,0.383333333333,0.0002071996931,1.26007360139e-06,1.73112720998e-05
1440,0.4,0.000210739906286,1.35746877521e-06,1.89890906247e-05
1500,0.416666666667,0.000214149938021,1.45513057692e-06,2.07152169547e-05
1560,0.433333333333,0.000217432894122,1.55278252542e-06,2.24850037536e-05
1620,0.45,0.000220591779974,1.65017273817e-06,2.42939097855e-05
1680,0.466666666667,0.000223629513685,1.74707245899e-06,2.61375159421e-05
1740,0.483333333333,0.000226548935379,1.84327460604e-06,2.80115378966e-05
1800,0.5,0.000229352814102,1.93859235089e-06,2.99118358609e-05
1860,0.516666666667,0.000232043853078,2.03285774483e-06,3.18344218873e-05
1920,0.533333333333,0.000234624693805,2.12592040286e-06,3.3775465089e-05
1980,0.55,0.000237097919364,2.21764624949e-06,3.57312950929e-05
2040,0.566666666667,0.000239466057128,2.3079163289e-06,3.76984039911e-05
2100,0.583333333333,0.000241731581038,2.39662568045e-06,3.96734470252e-05
2160,0.6,0.00024389691355,2.48368227916e-06,4.16532422003e-05
2220,0.616666666667,0.000245964427301,2.56900604002e-06,4.36347690006e-05
2280,0.633333333333,0.000247936446589,2.65252788429e-06,4.56151663558e-05
2340,0.65,0.000249815248673,2.73418886547e-06,4.75917299831e-05
2400,0.666666666667,0.000251603064944,2.8139393525e-06,4.95619092182e-05
2460,0.683333333333,0.000253302081989,2.89173826752e-06,5.15233034276e-05
2520,0.7,0.000254914442568,2.96755237528e-06,5.34736580872e-05
2580,0.716666666667,0.000256442246513,3.04135562162e-06,5.54108605955e-05
2640,0.733333333333,0.000257887551574,3.11312851806e-06,5.73329358856e-05
2700,0.75,0.000259252374215,3.1828575699e-06,5.92380411646e-05
2760,0.766666666667,0.000260538690366,3.25053474518e-06,6.11244628124e-05
2820,0.783333333333,0.000261748436151,3.31615698197e-06,6.29906115244e-05
2880,0.8,0.000262883508578,3.37972573149e-06,6.48350161663e-05
2940,0.816666666667,0.000263945766214,3.44124653487e-06,6.66563197275e-05
3000,0.833333333333,0.000264937029835,3.50072863117e-06,6.84532746588e-05
3060,0.85,0.000265859083068,3.5581845948e-06,7.02213749535e-05
3120,0.866666666667,0.000266713673011,3.61363000013e-06,7.19659074633e-05
3180,0.883333333333,0.000267502510848,3.66708311159e-06,7.36834595911e-05
3240,0.9,0.00026822727245,3.7185645975e-06,7.53726713732e-05
3300,0.916666666667,0.000268889598967,3.76809726586e-06,7.7032758965e-05
3360,0.933333333333,0.000269491097418,3.8157058208e-06,7.86630473474e-05
3420,0.95,0.000270033341268,3.86141663795e-06,8.02629331468e-05
3480,0.966666666667,0.000270517870999,3.9052575577e-06,8.18318840057e-05
3540,0.983333333333,0.000270946194678,3.9472576948e-06,8.33694370983e-05
3600,1,0.00027131978852,3.98744726341e-06,8.48751961266e-05
3660,1.01666666667,0.000271640097439,4.02585741617e-06,8.63488278644e-05
3720,1.03333333333,0.000271908535603,4.06252009666e-06,8.77900586685e-05
3780,1.05,0.000272126486974,4.09746790396e-06,8.91986710849e-05
3840,1.06666666667,0.000272295305852,4.13073396858e-06,9.05745005739e-05
3900,1.08333333333,0.000272416317407,4.16235183899e-06,9.19174323634e-05
3960,1.1,0.000272490818205,4.19235537782e-06,9.32273984263e-05
4020,1.11666666667,0.000272520076739,4.22077866713e-06,9.45043745817e-05
4080,1.13333333333,0.000272505333939,4.24765592212e-06,9.57483777165e-05
4140,1.15,0.000272447803689,4.27302141248e-06,9.69594631259e-05
4200,1.16666666667,0.000272348673333,4.29690939107e-06,9.81377219685e-05
4260,1.18333333333,0.000272209104172,4.31935402912e-06,9.92832788348e-05
4320,1.2,0.000272030231965,4.34038935769e-06,0.000100396289425
4380,1.21666666667,0.000271813167412,4.36004921477e-06,0.000101476938333
4440,1.23333333333,0.000271558996641,4.37836719763e-06,0.000102525436935
4500,1.25,0.000271268781681,4.39537662012e-06,0.000103542021376
4560,1.26666666667,0.000270943560934,4.41111047434e-06,0.000104526950659
4620,1.28333333333,0.000270584349638,4.42560139662e-06,0.000105480504822
4680,1.3,0.000270192140324,4.43888163716e-06,0.000106402983206
4740,1.31666666667,0.000269767903267,4.45098303335e-06,0.000107294702818
4800,1.33333333333,0.00026931258693,4.46193698626e-06,0.000108155996771
4860,1.35,0.000268827118401,4.47177444016e-06,0.000108987212808
4920,1.36666666667,0.000268312403824,4.48052586485e-06,0.000109788711903
4980,1.38333333333,0.000267769328823,4.48822124041e-06,0.000110560866939
5040,1.4,0.000267198758921,4.49489004443e-06,0.000111304061459
5100,1.41666666667,0.000266601539947,4.50056124132e-06,0.000112018688481
5160,1.43333333333,0.000265978498442,4.50526327354e-06,0.00011270514939
5220,1.45,0.000265330442059,4.50902405473e-06,0.000113363852878
5280,1.46666666667,0.000264658159948,4.51187096445e-06,0.000113995213963
5340,1.48333333333,0.000263962423142,4.51383084439e-06,0.000114599653049
5400,1.5,0.000263243984938,4.51492999602e-06,0.000115177595058
5460,1.51666666667,0.00026250358126,4.51519417949e-06,0.0001157294686
5520,1.53333333333,0.00026174193103,4.51464861363e-06,0.000116255705209
5580,1.55,0.000260959736522,4.513317977e-06,0.000116756738613
5640,1.56666666667,0.000260157683713,4.51122640995e-06,0.00011723300406
5700,1.58333333333,0.000259336442626,4.50839751742e-06,0.000117684937686
5760,1.6,0.000258496667673,4.50485437261e-06,0.000118112975925
5820,1.61666666667,0.000257638997981,4.50061952127e-06,0.000118517554955
5880,1.63333333333,0.000256764057721,4.49571498663e-06,0.000118899110189
