mcs,time_h,APAP,APAPS,APAPG
0,0,2.32889025646e-10,0,0
60,0.0166666666667,1.77957458215e-05,4.30065462709e-10,2.85870631059e-09
120,0.0333333333333,5.76538167278e-05,1.30209558339e-08,7.11307115104e-08
180,0.05,9.32190404706e-05,7.72173320876e-08,3.52385091141e-07
240,0.0666666666667,0.000119642333024,2.4268019562e-07,9.4484533175e-07
300,0.0833333333333,0.000139069049769,5.49013193324e-07,1.86032837293e-06
360,0.1,0.000153909750436,1.02000290384e-06,3.06253202015e-06
420,0.116666666667,0.000165796206172,1.66523701264e-06,4.49926318618e-06
480,0.133333333333,0.000175745248051,2.48354039775e-06,6.11765263542e-06
540,0.15,0.000184387950494,3.46627102492e-06,7.86983373205e-06
600,0.166666666667,0.000192119767977,4.60000632434e-06,9.71456920528e-06
660,0.183333333333,0.000199191109405,5.86858768375e-06,1.16172773506e-05
720,0.2,0.000205762339665,7.25460812805e-06,1.35494531986e-05
780,0.216666666667,0.000211937597307,8.74045366108e-06,1.54879107642e-05
840,0.233333333333,0.000217785729296,1.03090016887e-05,1.74140057744e-05
900,0.25,0.000223353298054,1.19440654886e-05,1.93129175971e-05
960,0.266666666667,0.000228672686936,1.36306522448e-05,2.11730161847e-05
1020,0.283333333333,0.000233767168276,1.53550915917e-05,2.29853180065e-05
1080,0.3,0.000238654085649,1.71050775748e-05,2.47430252965e-05
1140,0.316666666667,0.000243346862834,1.88696491487e-05,2.6441139218e-05
1200,0.333333333333,0.000247856280905,2.06391331518e-05,2.80761367193e-05
1260,0.35,0.000252191297295,2.24050647157e-05,2.96457013672e-05
1320,0.366666666667,0.000256359577064,2.41600956411e-05,3.11484994859e-05
1380,0.383333333333,0.000260367842339,2.58978979426e-05,3.25839941285e-05
1440,0.4,0.000264222106122,2.76130673641e-05,3.3952290552e-05
1500,0.416666666667,0.000267927831922,2.93010299547e-05,3.52540079042e-05
1560,0.433333333333,0.000271490045256,3.09579535969e-05,3.64901720555e-05
1620,0.45,0.000274913413529,3.25806655483e-05,3.76621281758e-05
1680,0.466666666667,0.000278202304764,3.4166576493e-05,3.87714689501e-05
1740,0.483333333333,0.000281360831929,3.57136112171e-05,3.98199709761e-05
1800,0.5,0.000284392887225,3.72201457799e-05,4.08095458379e-05
1860,0.516666666667,0.000287302169227,3.86849508944e-05,4.1742198967e-05
1920,0.533333333333,0.000290092204776,4.01071411423e-05,4.26199957257e-05
1980,0.55,0.000292766366964,4.14861296004e-05,4.34450336518e-05
