 MCS  Time(hr)  APAP_exp_ug/ml  APAP_calc_ug/ml  APAP_abs_err_ug/ml  APAPS_exp_ug/ml  APAPS_calc_ug/ml  APAPS_abs_err_ug/ml  APAPG_exp_ug/ml  APAPG_calc_ug/ml  APAPG_abs_err_ug/ml  total_err_this_step  cumulative_total_err  RMSeTotal  accumChiSquaredTotal
      0    0.00          0.00    0.000    0.000          0.00    0.000    0.000          0.00    0.000    0.000         0.000    0.000        0.0000         0.0000
   1080    0.30          8.94    9.732    0.792          0.76    0.123    0.637          0.33    0.032    0.298         1.727    1.727        0.4323         0.8733
   1800    0.50         14.67   12.892    1.778          1.97    0.594    1.376          1.75    0.178    1.572         4.726    6.452        0.9801         3.4621
   2700    0.75         16.77   14.703    2.067          2.96    1.299    1.661          3.65    0.442    3.208         6.936   13.388        1.4711         7.4681
   3600    1.00         16.63   15.597    1.033          3.41    2.104    1.306          4.71    0.811    3.899         6.239   19.627        1.7116        11.2605
   5400    1.50         14.89   15.666    0.776          4.06    3.682    0.378          7.74    1.795    5.945         7.099   26.726        2.1086        15.9023
   7200    2.00         13.98   14.462    0.482          4.24    4.978    0.738          9.32    3.010    6.310         7.530   34.256        2.3967        20.3197
  10800    3.00         10.85   10.590    0.260          4.24    6.585    2.345         10.78    5.774    5.006         7.611   41.868        2.5104        23.9474
  14400    4.00          8.14    6.326    1.814          3.71    7.248    3.538         10.75    8.585    2.165         7.517   49.385        2.5221        28.1622
  18000    5.00          6.12    2.724    3.396          3.20    7.342    4.142          9.48   11.114    1.634         9.172   58.557        2.6020        35.6899
  21600    6.00          4.45    0.878    3.572          2.68    6.766    4.086          8.13   12.982    4.852        12.511   71.067        2.7859        47.6836
  25200    7.00          3.13    0.259    2.871          2.15    5.183    3.033          6.78   13.771    6.991        12.896   83.963        2.9927        61.8057
  28800    8.00          2.72    0.075    2.645          1.66    3.241    1.581          5.18   13.531    8.351        12.577   96.541        3.2092        79.3479
  43200   12.00          1.20    0.001    1.199          0.72    0.178    0.542          2.05    8.728    6.678         8.420  104.960        3.2660       102.7086
